10,2018.03.30,+20:13:12.906,+00:00:00.000,+20:13:28.509,+20:13:33.059,0,+20:13:33.059,+00:00:00.000,+20:14:12.044,+20:14:20.027,0,+20:14:20.027,+00:00:00.000,+20:14:43.499,+20:14:47.581,3,+20:13:10.099,+20:14:47.581
10,2018.03.30,+22:05:30.337,+00:00:00.000,+22:05:44.055,+22:05:49.105,0,+22:05:49.105,+00:00:00.000,+22:06:26.094,+22:06:33.395,0,+22:06:33.395,+00:00:00.000,+22:06:49.915,+22:06:54.098,2,+22:05:26.866,+22:06:54.098
10,2018.03.30,+23:28:44.791,+00:00:00.000,+23:29:12.616,+23:29:17.845,0,+23:29:17.845,+00:00:00.000,+23:29:50.211,+23:29:57.904,0,+23:29:57.904,+00:00:00.000,+23:30:21.734,+23:30:26.691,2,+23:28:37.007,+23:30:26.691
10,2018.03.31,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+01:56:45.947,+01:57:01.479
10,2018.03.31,+01:58:12.603,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+01:58:08.423,+01:58:22.773
10,2018.03.31,+02:06:42.962,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+02:06:39.947,+02:06:54.554
10,2018.03.31,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+02:08:04.940,+02:08:11.719
10,2018.03.31,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+02:09:58.151,+02:10:02.811
10,2018.03.31,+02:10:11.674,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+02:10:08.442,+02:10:16.610
10,2018.03.31,+02:13:21.658,+00:00:00.000,+02:13:40.683,+02:13:45.562,1,+02:13:45.562,+00:00:00.000,+02:14:08.956,+02:14:15.974,0,+02:14:15.974,+00:00:00.000,+02:14:35.659,+02:14:40.035,2,+02:13:18.278,+02:14:40.035
10,2018.03.31,+02:26:01.719,+00:00:00.000,+02:26:19.433,+02:26:24.069,0,+02:26:24.069,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+00:00:00.000,+00:00:00.000,+00:00:00.000,+00:00:00.000,0,+02:25:58.423,+02:27:05.831
